sale_barn,LAT,LNG
Joplin,37.085249,-94.242046
Kingsville,38.739817,-94.055967
North Cambria,39.768121,-92.746546
Sedalia,38.681165,-93.249504
Callaway,38.935093,-91.863962
Farmington,37.812293,-90.452719
Palmyra,39.734486,-91.51183
Fruitland,37.465175,-89.642937
Springfield,37.201188,-93.430248
